"raceId","year","round","circuitId","GPname","date","startTime","circuitRef","circuitName","location","country","lat","lng","alt","continent"
999,2018,11,10,"German Grand Prix","2018-07-22","13:10:00","hockenheimring","Hockenheimring","Hockenheim","Germany",49.3278,8.56583,103,"Europe"
1000,2018,12,11,"Hungarian Grand Prix","2018-07-29","13:10:00","hungaroring","Hungaroring","Budapest","Hungary",47.5789,19.2486,264,"Europe"
1001,2018,13,13,"Belgian Grand Prix","2018-08-26","13:10:00","spa","Circuit de Spa-Francorchamps","Spa","Belgium",50.4372,5.97139,401,"Europe"
1002,2018,14,14,"Italian Grand Prix","2018-09-02","13:10:00","monza","Autodromo Nazionale di Monza","Monza","Italy",45.6156,9.28111,162,"Europe"
1003,2018,15,15,"Singapore Grand Prix","2018-09-16","12:10:00","marina_bay","Marina Bay Street Circuit","Marina Bay","Singapore",1.2914,103.864,18,"Asia"
1004,2018,16,71,"Russian Grand Prix","2018-09-30","11:10:00","sochi","Sochi Autodrom","Sochi","Russia",43.4057,39.9578,2,"Europe"
1005,2018,17,22,"Japanese Grand Prix","2018-10-07","05:10:00","suzuka","Suzuka Circuit","Suzuka","Japan",34.8431,136.541,45,"Asia"
1006,2018,18,69,"United States Grand Prix","2018-10-21","18:10:00","americas","Circuit of the Americas","Austin","USA",30.1328,-97.6411,161,"North America"
1007,2018,19,32,"Mexican Grand Prix","2018-10-28","19:10:00","rodriguez","Autódromo Hermanos Rodríguez","Mexico City","Mexico",19.4042,-99.0907,2227,"North America"
1008,2018,20,18,"Brazilian Grand Prix","2018-11-11","17:10:00","interlagos","Autódromo José Carlos Pace","São Paulo","Brazil",-23.7036,-46.6997,785,"South America"
1009,2018,21,24,"Abu Dhabi Grand Prix","2018-11-25","13:10:00","yas_marina","Yas Marina Circuit","Abu Dhabi","UAE",24.4672,54.6031,3,"Asia"
1010,2019,1,1,"Australian Grand Prix","2019-03-17","05:10:00","albert_park","Albert Park Grand Prix Circuit","Melbourne","Australia",-37.8497,144.968,10,"Oceania"
1011,2019,2,3,"Bahrain Grand Prix","2019-03-31","15:10:00","bahrain","Bahrain International Circuit","Sakhir","Bahrain",26.0325,50.5106,7,"Asia"
1012,2019,3,17,"Chinese Grand Prix","2019-04-14","06:10:00","shanghai","Shanghai International Circuit","Shanghai","China",31.3389,121.22,5,"Asia"
1013,2019,4,73,"Azerbaijan Grand Prix","2019-04-28","12:10:00","baku","Baku City Circuit","Baku","Azerbaijan",40.3725,49.8533,-7,"Europe"
